sample,t_seconds,i_ideal,q_ideal,i_dac,q_dac,rf_ideal,rf_dac,rx_i,rx_q,rx_rf
8422,0.003158565856585658,-0.0894360674838093,-0.6418218509105372,-0.08984375,-0.640625,-0.25220471023906615,-0.25124115826441157,-0.19364178108141916,-1.0482150531499221,-0.3710473639169952
8423,0.0031589408940894087,-0.07856150471098086,-0.6393434253869035,-0.078125,-0.640625,-0.2740827041146411,-0.2751348020709521,-0.17512900632865613,-1.034544313734506,-0.4028750394775511
8424,0.003159315931593159,-0.06769308966159168,-0.6368606180104446,-0.06640625,-0.63671875,-0.29542914548067395,-0.29642338024280523,-0.1356811770419067,-1.0491669800459236,-0.46655055148587626
8425,0.003159690969096909,-0.05683100290037077,-0.634373464958977,-0.05859375,-0.6328125,-0.31622338860846916,-0.31388462798860556,-0.15272252489668386,-1.0284663413142665,-0.4629738279308537
8426,0.00316006600660066,-0.0459754247651028,-0.6318820024852182,-0.046875,-0.6328125,-0.33644533941794313,-0.3362698169965719,-0.137878267123672,-1.0346765852000102,-0.5004252033068475
8427,0.0031604410441044106,-0.035126535363723205,-0.6293862669161137,-0.03515625,-0.62890625,-0.3560754719452632,-0.35575912673405224,-0.13491033525617036,-1.023117879438104,-0.5171715808437428
8428,0.0031608160816081607,-0.02428451457130698,-0.6268862946521369,-0.0234375,-0.625,-0.37509484432408857,-0.3745681816986533,-0.10484111605672414,-1.0224005986771825,-0.5610075830123357
8429,0.003161191119111911,-0.013449542027184097,-0.624382122166615,-0.01171875,-0.625,-0.39348511426730687,-0.395204906999401,-0.055671162339072225,-1.028143835330594,-0.6223629210882018
8430,0.0031615661566156616,-0.002621797132004472,-0.6218737860050408,-0.00390625,-0.62109375,-0.4112285540374512,-0.4097503361041989,-0.06520562408791758,-1.0174395265149974,-0.6272796102198348
8431,0.0031619411941194117,0.008198540955192013,-0.6193613227843833,0.0078125,-0.62109375,-0.42830806489467604,-0.4292069323911904,-0.05117166022933618,-1.0134746082184947,-0.6536049242971876
8432,0.003162316231623162,0.019011293319883993,-0.6168447691924003,0.01953125,-0.6171875,-0.44470719101091793,-0.44531860946866897,-0.011021307730595526,-1.0079031675945391,-0.696535994221835
8433,0.0031626912691269126,0.029816281294983066,-0.6143241619869463,0.03125,-0.61328125,-0.4604101328393818,-0.46066540940169853,-0.013560885900594474,-1.0230997422752808,-0.7226094103337732
8434,0.0031630663066306627,0.04061332646374077,-0.611799537995281,0.0390625,-0.61328125,-0.47540175992959127,-0.47542920316295906,0.005316667640355011,-0.9923281930976342,-0.7298232250973203
8435,0.003163441344134413,0.05140225066263651,-0.6092709341133772,0.05078125,-0.609375,-0.4896676231779512,-0.489333040917584,0.023665268449935523,-1.000732689674363,-0.7639319929017113
8436,0.0031638163816381636,0.06218287598428221,-0.6067383873052242,0.0625,-0.60546875,-0.5031939665043411,-0.5024300439801564,0.05882854593984415,-0.9784497090917489,-0.7846820866573374
8437,0.0031641914191419137,0.07295502478030047,-0.6042019346021344,0.07421875,-0.60546875,-0.5159677379462603,-0.5177472368017075,0.06151615417285603,-0.9825632907353102,-0.8031948217857723
8438,0.003164566456645664,0.08371851966420929,-0.6016616131020439,0.08203125,-0.6015625,-0.527976600161845,-0.5268694689175535,0.07886072890639692,-0.994099374708913,-0.8361035844639279
8439,0.003164941494149415,0.0944731835143027,-0.5991174599688133,0.09375,-0.59765625,-0.5392089403338817,-0.5376027374231676,0.10258224671542904,-0.9897155551177077,-0.8591538038459635
8440,0.0031653165316531656,0.10521883947647834,-0.5965695124315371,0.10546875,-0.59765625,-0.5496538794673281,-0.5506884418023847,0.0961364061211593,-0.9692935021847278,-0.850299817057223
8441,0.0031656915691569156,0.11595531096716274,-0.5940178077838286,0.1171875,-0.59375,-0.559301281073581,-0.559758262984799,0.1380074635950643,-0.973819918077886,-0.8881497203506314
8442,0.003166066606660666,0.12668242167612626,-0.5914623833831272,0.125,-0.58984375,-0.5681417592347624,-0.5658759502979572,0.12932614540750664,-0.9648200112482277,-0.8856197258234465
8443,0.0031664416441644166,0.1373999955693361,-0.5889032766499925,0.13671875,-0.58984375,-0.5761666860420653,-0.576625500306863,0.15736792856210646,-0.9660982996704419,-0.9103555519935408
8444,0.0031668166816681666,0.14810785689180708,-0.5863405250674003,0.1484375,-0.5859375,-0.5833681984028649,-0.5831794080120821,0.1853927138595573,-0.9435106913491824,-0.9126934153638527
8445,0.003167191719171917,0.1588058301704327,-0.5837741661800373,0.16015625,-0.58203125,-0.5897392042114511,-0.5888381393741603,0.2131203868776797,-0.9489204786945845,-0.937406126936049
8446,0.0031675667566756676,0.1694937402168144,-0.5812042375935925,0.16796875,-0.58203125,-0.5952733878788506,-0.5953252039866411,0.2219729804205287,-0.9589760864661857,-0.9562157124691553
8447,0.0031679417941794176,0.18017141213008797,-0.578630776974052,0.1796875,-0.578125,-0.5999652152179477,-0.5993007254559353,0.2603775872622323,-0.9539919184793522,-0.9734306773025951
8448,0.003168316831683168,0.19083867129973603,-0.5760538220469875,0.19140625,-0.57421875,-0.6038099376803076,-0.6023656832646462,0.26387469267397357,-0.9462590343192671,-0.9716285135767534
8449,0.0031686918691869186,0.20149534340840305,-0.5734734105968468,0.203125,-0.57421875,-0.6068035959417509,-0.6081202909637893,0.28964235957280704,-0.9313262680812802,-0.9709437615323627
8450,0.0031690669066906686,0.21214125443469597,-0.5708895804662426,0.2109375,-0.5703125,-0.6089430228343352,-0.6079671560769058,0.28849139863830564,-0.9555424886772241,-0.9949840474906986
8451,0.003169441944194419,0.22277623065597732,-0.5683023695552408,0.22265625,-0.56640625,-0.6102258456227505,-0.6084031244562672,0.3050505899515475,-0.93239776373713,-0.9804956670752508
